Name,Neigborhood,Type_of_Restaurant,Num_Google_Reviews,Google_Rating,Num_Yelp_Reviews,Yelp_Rating
MAKfam,"Baker, Denver",Chinese,576,4.6,232,4.4
Bramble & Hare Bistro,"Central Boulder, Boulder",American,516,4.5,252,4
Alma Fonda Fina,"Highland Park, Denver","Mexican, Contemporary",770,4.8,206,4.7
Basta,"Baseland Sub, Boulder",Contemporary,495,4.5,302,4.2
La Diabla Pozole y Mezcal,"Five Points, Denver",Mexican,1240,4.4,304,4.1
Glo Noodle House,"Northwest, Denver",Ramen,393,4.7,183,4.5
Smok,"River North Art District, Denver","American, Barbaque",1200,4.4,323,4.2
Element 47,Aspen,Contemporary,187,4.3,148,3.8
Brutø,"Union Station, Denver",Contemporary,335,4.6,131,4.4
Mercantile Dining and Provision,"Union Station, Denver",American,1800,4.5,1400,4.2
Mawa's Kitchen,Aspen,"Contemporary, American",462,4.6,182,4.3
The Ginger Pig,"Berkley, Denver","Chinese, Asian",476,4.4,299,4.2
Blackbelly Market,"Arapahoe Ridge, Boulder","American, Steakhouse",1700,4.5,705,4.2
Olivia,"Washington Park, Denver","Italian, Contemporary",758,4.7,270,4.6
Zoe Ma Ma,"Central Boulder, Boulder",Chinese,1096,4.2,657,3.7
Splendido at the Chateau,Beaver Creek,Contemporary,317,4.6,187,4.1
Safta,"River North Art District, Denver",Isreali,2200,4.5,1000,4.5
Tavernetta,"Union Station, Denver","Italian, Contemporary",2299,4.7,867,4.5
Prospect,Aspen,Contemporary,82,4.1,92,3.7
Ukiyo,"Union Station, Denver","Japanese, Fusion",96,4.6,31,4.5
