Playlist,Track,Artist,Wiki Genre,AI_Genre,Num_of_Listens
USA,Espresso,Sabrina Carpenter,"Pop, funk, dance, nu-disco",Pop,"2,480,797,848"
USA,Not Like Us,Kendrick Lamar,"West Coast hip-hop, hyphy",Hip-Hop,"1,635,412,929"
USA,A Bar Song (Tipsy),Shaboozey,Country rap,Country,"1,417,783,278"
USA,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",Country pop,Country,"1,230,840,950"
USA,MILLION DOLLAR BABY,Tommy Richman,"R&B, electro-funk, hip hop",R&B,"1,278,268,052"
USA,"Good Luck, Babe!",Chappell Roan,"Synth-pop, new wave, dance",Pop,"1,721,458,516"
USA,Beautiful Things,Benson Boone,Pop rock,Pop Rock,"2,402,702,787"
USA,BIRDS OF A FEATHER,Billie Eilish,"New wave, pop",Pop,"2,947,838,393"
USA,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",Country,Country,"1,182,538,412"
USA,Stick Season,Noah Kahan,Folk,Indie Folk,"1,590,685,451"
USA,Too Sweet,Hozier,"Blue-eyed soul, pop rock, funk rock",Alternative Rock,"1,658,524,712"
USA,Please Please Please,Sabrina Carpenter,"Pop, disco-pop, synth-pop, country pop, alternative country, yacht rock",Pop,"1,567,142,859"
USA,Lose Control,Teddy Swims,Soul,R&B,"1,992,646,884"
USA,Like That,"Future, Metro Boomin, Kendrick Lamar","Trap, hardcore hip-hop",Hip-Hop,"842,186,751"
USA,Something in the Orange,Zach Bryan,Country,Country,"1,351,515,802"
USA,CARNIVAL,"Ye, Kanye West, Ty Dolla $ign","Hip-hop, trap",Hip-Hop,"795,086,859"
USA,Last Night,Morgan Wallen,"Country pop, hick hop, R&B",Country,"1,323,629,787"
USA,End of Beginning,Djo,"Synth-pop, baroque rock",Alternative Rock,"1,638,520,430"
USA,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis","R&B, pop-rap",Hip-Hop,"2,546,994,826"
USA,Cruel Summer,Taylor Swift,"Electro, pop, synth-pop, industrial pop",Pop,"3,037,813,611"
USA,My Love Mine All Mine,Mitski,"Gothic country, lounge",Indie Rock,"1,690,860,950"
USA,HOT TO GO!,Chappell Roan,"Synth-pop, electro, pop, indie pop, dance-pop, dance",Pop,"764,637,585"
USA,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone","Downtempo, electro, pop, synth-pop, new wave",Pop,"1,000,765,676"
USA,redrum,21 Savage,Trap,Hip-Hop,"740,290,971"
USA,FEIN (feat. Playboi Carti),"Travis Scott, Playboi Carti",Rage,Hip-Hop,"1,392,550,372"
USA,we can't be friends (wait for your love),Ariana Grande,"Synth-pop, Europop, power pop",Pop,"1,547,197,951"
USA,Cowgirls,"Morgan Wallen, ERNEST",Country,Country,"642,569,297"
USA,Lovin On Me,Jack Harlow,Pop rap,Hip-Hop,"954,449,965"
USA,Saturn,SZA,"R&B, pop, downtempo",R&B,"937,773,914"
USA,Heading South,Zach Bryan,Alternative country,Country,"853,880,591"
USA,Thinkin' Bout Me,Morgan Wallen,Country pop,Country,"684,221,300"
USA,Austin (Boots Stop Workin'),Dasha,Country pop,Country,"947,501,352"
USA,i like the way you kiss me,Artemas,"Alternative pop, dark wave",Alternative Pop,"1,360,835,077"
USA,greedy,Tate McRae,"Pop, dance-pop, R&B",Pop,"1,934,609,622"
USA,Sweater Weather,The Neighbourhood,Alternative rock,Alternative Rock,"3,972,145,447"
