Playlist,Track,Artist,Wiki Genre,AI_Genre,NoL_wcomma,Num_of_Listens,Over_1billion,Genre_Over_1b,,
USA,Espresso,Sabrina Carpenter,Pop funk dance nu-disco,Pop,"2,480,797,848",2480797848,y,Pop,,There are 31 songs over 1 Billion listenes for USA
USA,Not Like Us,Kendrick Lamar,West Coast hip-hop hyphy,Hip-Hop,"1,635,412,929",1635412929,y,Hip-Hop,,
USA,A Bar Song (Tipsy),Shaboozey,Country rap,Country,"1,417,783,278",1417783278,y,Country,,
USA,I Had Some Help (Feat. Morgan Wallen),Post Malone Morgan Wallen,Country pop,Country,"1,230,840,950",1230840950,y,Country,,
USA,MILLION DOLLAR BABY,Tommy Richman,R&B electro-funk hip hop,R&B,"1,278,268,052",1278268052,y,R&B,,
USA,Good Luck Babe!,Chappell Roan,Synth-pop new wave dance,Pop,"1,721,458,516",1721458516,y,Pop,,
USA,Beautiful Things,Benson Boone,Pop rock,Pop Rock,"2,402,702,787",2402702787,y,Pop Rock,,
USA,BIRDS OF A FEATHER,Billie Eilish,New wave pop,Pop,"2,947,838,393",2947838393,y,Pop,,
USA,I Remember Everything (feat. Kacey Musgraves),Zach Bryan Kacey Musgraves,Country,Country,"1,182,538,412",1182538412,y,Country,,
USA,Stick Season,Noah Kahan,Folk,Indie Folk,"1,590,685,451",1590685451,y,Indie Folk,,
USA,Too Sweet,Hozier,Blue-eyed soul pop rock funk rock,Alternative Rock,"1,658,524,712",1658524712,y,Alternative Rock,,
USA,Please Please Please,Sabrina Carpenter,Pop disco-pop synth-pop country pop alternative country yacht rock,Pop,"1,567,124,859",1567124859,y,Pop,,
USA,Lose Control,Teddy Swims,Soul,R&B,"1,992,646,884",1992646884,y,R&B,,
USA,Like That,Future Metro Boomin Kendrick Lamar,Trap hardcore hip-hop,Hip-Hop,"842,186,751",842186751,n,Under 1B,,
USA,Something in the Orange,Zach Bryan,Country,Country,"1,351,515,802",1351515802,y,Country,,
USA,CARNIVAL,Ye Kanye West Ty Dolla $ign,Hip-hop trap,Hip-Hop,"795,086,859",795086859,n,Under 1B,,
USA,Last Night,Morgan Wallen,Country pop hick hop R&B,Country,"1,323,629,787",1323629787,y,Country,,
USA,End of Beginning,Djo,Synth-pop baroque rock,Alternative Rock,"1,638,520,430",1638520430,y,Alternative Rock,,
USA,See You Again (feat. Kali Uchis),Tyler The Creator Kali Uchis,R&B pop-rap,Hip-Hop,"2,546,994,826",2546994826,y,Hip-Hop,,
USA,Cruel Summer,Taylor Swift,Electro pop synth-pop industrial pop,Pop,"3,037,813,611",3037813611,y,Pop,,
USA,My Love Mine All Mine,Mitski,Gothic country lounge,Indie Rock,"1,690,860,950",1690860950,y,Indie Rock,,
USA,HOT TO GO!,Chappell Roan,Synth-pop electro pop indie pop dance-pop dance,Pop,"764,637,585",764637585,n,Under 1B,,
USA,Fortnight (feat. Post Malone),Taylor Swift Post Malone,Downtempo electro pop synth-pop new wave,Pop,"1,000,765,676",1000765676,y,Pop,,
USA,redrum,21 Savage,Trap,Hip-Hop,"740,290,971",740290971,n,Under 1B,,
USA,FEIN (feat. Playboi Carti),Travis Scott Playboi Carti,Rage,Hip-Hop,"1,392,550,372",1392550372,y,Hip-Hop,,
USA,we can't be friends (wait for your love),Ariana Grande,Synth-pop Europop power pop,Pop,"1,547,197,951",1547197951,y,Pop,,
USA,Cowgirls,Morgan Wallen ERNEST,Country,Country,"642,569,297",642569297,n,Under 1B,,
USA,Lovin On Me,Jack Harlow,Pop rap,Hip-Hop,"954,449,965",954449965,n,Under 1B,,
USA,Saturn,SZA,R&B pop downtempo,R&B,"937,773,914",937773914,n,Under 1B,,
USA,Heading South,Zach Bryan,Alternative country,Country,"853,880,591",853880591,n,Under 1B,,
USA,Thinkin' Bout Me,Morgan Wallen,Country pop,Country,"684,221,300",684221300,n,Under 1B,,
USA,Austin (Boots Stop Workin'),Dasha,Country pop,Country,"947,501,352",947501352,n,Under 1B,,
USA,i like the way you kiss me,Artemas,Alternative pop dark wave,Alternative Pop,"1,360,835,077",1360835077,y,Alternative Pop,,
USA,greedy,Tate McRae,Pop dance-pop R&B,Pop,"1,934,609,622",1934609622,y,Pop,,
USA,Sweater Weather,The Neighbourhood,Alternative rock,Alternative Rock,"3,972,145,447",3972145447,y,Alternative Rock,,
USA,Snooze,SZA,R&B pop,R&B,"1,657,288,777",1657288777,y,R&B,,
USA,Scared To Start,Michael Marcagi,Folk,Indie Folk,"693,069,582",693069582,n,Under 1B,,
USA,You Proof,Morgan Wallen,Country pop,Country,"892,578,684",892578684,n,Under 1B,,
USA,Die With A Smile,Lady Gaga Bruno Mars,Pop-soul soft rock,Pop,"2,883,037,745",2883037745,y,Pop,,
USA,Pink + White,Frank Ocean,R&B neo soul,R&B,"1,909,311,806",1909311806,y,R&B,,
USA,Pink Skies,Zach Bryan,Country,Country,"575,128,896",575128896,n,Under 1B,,
USA,Feather,Sabrina Carpenter,Pop dance disco bubble gum,Pop,"969,401,627",969401627,n,Under 1B,,
USA,I Can Do It With a Broken Heart,Taylor Swifth,Electro pop dance-pop new wave synth-disco,Pop,"707,287,046",707287046,n,Under 1B,,
USA,Red Wine Supernova,Chappell Roan,Pop synth-pop. dance-pop. electro,Pop,"532,483,180",532483180,n,Under 1B,,
USA,Mmhmm,BigXthaPlug,Pop-punk Christian rock alternative rock,Hip-Hop,"435,494,831",435494831,n,Under 1B,,
USA,Who,Jimin,Dance-pop R&B hip hop,Pop,"1,941,851,033",1941851033,y,Pop,,
USA,Never Lose Me,Flo Milli,Hip hop,Hip-Hop,"519,264,772",519264772,n,Under 1B,,
USA,Slow It Down,Benson Boone,Pop rock,Pop,"865,748,233",865748233,n,Under 1B,,
USA,Taste,Sabrina Carpenter,Pop glam-pop country pop pop rock indie rock slacker rock soft rock rock,Pop,"1,187,324,853",1187324853,y,Pop,,
USA,Evergreen,Richy Mitch & The Coal Miners,Folk Rock,Indie Folk,"1,023,524,797",1023524797,y,Indie Folk,,
Global,,,,,"2,480,797,848",,,,,
Global,,,,,"2,402,702,787",,,,,
Global,,,,,"2,947,838,393",,,,,
Global,,,,,"1,759,155,375",,,,,
Global,,,,,"1,992,646,884",,,,,
Global,,,,,"1,638,520,430",,,,,
Global,,,,,"1,658,524,712",,,,,
Global,,,,,"2,071,854,401",,,,,
Global,,,,,"3,037,813,611",,,,,
