name,pokedex_number,abilities,attack,capture_rate,classfication,defense,height_m,hp,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
Onix,95,"['Rock Head', 'Sturdy', 'Weak Armor']",45,45,Rock Snake Pokémon,160,8.8,35,30,45,70,rock,ground,210,1,0
Gyarados,130,"['Intimidate', 'Moxie']",155,45,Atrocious Pokémon,109,6.5,95,70,130,81,water,flying,235,1,0
Dragonair,148,"['Shed Skin', 'Marvel Scale']",84,45,Dragon Pokémon,65,4,61,70,70,70,dragon,,16.5,1,0
Arbok,24,"['Intimidate', 'Shed Skin', 'Unnerve']",95,90,Cobra Pokémon,69,3.5,60,65,79,80,poison,,65,1,0
Lapras,131,"['Water Absorb', 'Shell Armor', 'Hydration']",85,45,Transport Pokémon,80,2.5,130,85,95,60,water,ice,220,1,0
Kangaskhan,115,"['Early Bird', 'Scrappy', 'Inner Focus']",125,45,Parent Pokémon,100,2.2,105,60,100,100,normal,,80,1,0
Dragonite,149,"['Inner Focus', 'Multiscale']",134,45,Dragon Pokémon,95,2.2,91,100,100,80,dragon,flying,210,1,0
Snorlax,143,"['Immunity', 'Thick Fat', 'Gluttony']",110,25,Sleeping Pokémon,65,2.1,160,65,110,30,normal,,460,1,0
Venusaur,3,"['Overgrow', 'Chlorophyll']",100,45,Seed Pokémon,123,2,80,122,120,80,grass,poison,100,1,0
Ekans,23,"['Intimidate', 'Shed Skin', 'Unnerve']",60,255,Snake Pokémon,44,2,35,40,54,55,poison,,6.9,1,0
Moltres,146,"['Pressure', 'Flame Body']",100,3,Flame Pokémon,90,2,90,125,85,90,fire,flying,60,1,1
Mewtwo,150,"['Pressure', 'Unnerve']",150,3,Genetic Pokémon,70,2,106,194,120,140,psychic,,122,1,1
Arcanine,59,"['Intimidate', 'Flash Fire', 'Justified']",110,75,Legendary Pokémon,80,1.9,90,100,80,95,fire,,155,1,0
Rhydon,112,"['Lightningrod', 'Rock Head', 'Reckless']",130,60,Drill Pokémon,120,1.9,105,45,45,40,ground,rock,120,1,0
Dodrio,85,"['Run Away', 'Early Bird', 'Tangled Feet']",110,45,Triple Bird Pokémon,70,1.8,60,60,60,110,normal,flying,85.2,1,0
Aerodactyl,142,"['Rock Head', 'Pressure', 'Unnerve']",135,45,Fossil Pokémon,85,1.8,80,70,95,150,rock,flying,59,1,0
